Title,Author,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Ban Status,Origin of Challenge
"Sigh, Gone: A Misfit's Memoir of Great Books, Punk Rock, and the Fight to Fit In","Tran, Phuc",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Song of Solomon,"Morrison, Toni",,,,Iowa,Indianola Community School District,October 2023,Banned,Administration
The World Book Encyclopedia of People and Places,World Book Encyclopedia,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
This Day in June,"Pitman, Gayle E.",,"Litten, Kristyna",,Florida,Broward County Public Schools,October 2022,Banned from Libraries,Informal Challenge
"We Should Hang Out Sometime: Embarrassingly, A True Story","Sundquist, Josh",,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Family Fletcher Takes Rock Island,"Levy, Dana Alison",,,,Florida,Okaloosa County Schools District,January 2023,Banned Pending Investigation,Administration
Foul is Fair,"Capin, Hannah",,,,Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
Getting It,"Sanchez, Alex",,,,Texas,Conroe Independent School District,November 2023,Banned,Administration
Skin (DJN),"Napoli, Donna Jo",,,,Texas,Fort Worth Independent School District,August 2023,Banned pending investigation,Administration
We All Fall Down,"Cormier, Robert",,,,Florida,Clay County School District,August 2023,Banned,Formal Challenge
The Magical Yet,"DiTerlizzi, Angela",,"Álvarez, Lorena",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
"The Birds, the Bees, and You and Me","Hinebaugh, Olivia",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",,,,South Carolina,Beaufort County School District,October 2022,Banned from Libraries,Informal Challenge
Anatomy of a Single Girl,"Snadowsky, Daria",,,,Virginia,Spotsylvania County Public Schools,October 2022,Banned from Libraries and Classrooms,Formal Challenge
Blue Bloods: After Life,"de la Cruz, Melissa",,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
Kindred: A Graphic Novel Adaptation,"Butler, Octavia E.","Duffy, Damian","Jennings, John",,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Just After Sunset,"King, Stephen",,,,Florida,Clay County School District,May 2024,Banned,Formal Challenge
The Nowhere Girls,"Reed, Amy",,,,Texas,Belton Independent School District,October 2022,Banned Pending Investigation,Formal Challenge
Left Out,"Green, Tim",,,,Texas,Frisco Independent School District,November 2022,Banned from Libraries,Administration
Celebrating Different Beliefs,"Cavell-Clarke, Steffi",,,,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
Ellen Outside the Lines,"Sass, A.J.",,,,Kentucky,Boyle County Schools,October 2023,Banned,Administration
Where the Crawdads Sing,"Owens, Delia",,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Infandous,"Arnold, Elana K.",,,,Utah,Davis School District,November 2022,Banned from Libraries and Classrooms,Formal Challenge
If We Were Us,"Walther, K. L.",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
